"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"193" 193 99807 64321 374 0.89395 18627 190 368 6 182 5 182 42802 7015 5 7015 42789 193 49999 49808
"194" 194 99806 86273 376 0.75936 64321 193 374 6 183 5 183 42802 7014 5 7014 42789 194 49999 49807
"195" 195 99805 87839 378 0.57821 86273 194 376 6 184 5 184 42801 7014 5 7014 42788 195 49999 49806
"196" 196 99804 7786 380 0.17546 87839 195 378 6 185 5 185 42801 7013 5 7013 42788 196 49999 49805
"197" 197 99803 17151 382 0.75702 87839 195 378 6 186 5 186 42801 7012 5 7012 42788 197 49999 49804
"198" 198 99802 43793 384 1.0992 16016 192 372 6 187 5 187 42801 7011 5 7011 42788 198 49999 49803
"199" 199 99801 19145 384 1.1218 76777 132 260 7 187 5 187 42801 7011 5 7011 42787 199 49999 49802
"200" 200 99800 45399 386 0.70348 19145 199 384 7 188 5 188 42800 7011 5 7011 42786 200 49999 49801
"201" 201 99799 70347 388 1.1265 62222 166 326 7 189 5 189 42799 7011 5 7011 42785 201 49999 49800
"202" 202 99798 52328 390 1.1291 11604 188 364 7 190 5 190 42798 7011 5 7011 42784 202 49999 49799
"203" 203 99797 44592 392 1.1359 3225 177 344 7 191 5 191 42796 7012 5 7012 42782 203 49999 49798
"204" 204 99796 64243 394 0.30548 44592 203 392 7 192 5 192 42795 7012 5 7012 42781 204 49999 49797
"205" 205 99795 84864 396 0.8053 64243 204 394 7 193 5 193 42795 7011 5 7011 42781 205 49999 49796
"206" 206 99794 43407 398 0.87628 84864 205 396 7 194 5 194 42794 7011 5 7011 42780 206 49999 49795
"207" 207 99793 8063 400 0.95 43407 206 398 7 195 5 195 42793 7011 5 7011 42779 207 49999 49794
"208" 208 99792 90858 402 0.73517 8063 207 400 7 196 5 196 42792 7011 5 7011 42778 208 49999 49793
"209" 209 99791 97064 404 0.89954 8063 207 400 7 197 5 197 42792 7010 5 7010 42778 209 49999 49792
"210" 210 99790 87831 406 1.0481 8063 207 400 7 198 5 198 42791 7010 5 7010 42777 210 49999 49791
"211" 211 99789 7782 408 1.1177 90858 208 402 7 199 5 199 42790 7010 5 7010 42776 211 49999 49790
"212" 212 99788 57115 410 0.71297 7782 211 408 7 200 5 200 42789 7010 5 7010 42775 212 49999 49789
"213" 213 99787 91775 412 1.0353 7782 211 408 7 201 5 201 42789 7009 5 7009 42775 213 49999 49788
"214" 214 99786 23438 414 0.42139 91775 213 412 7 202 5 202 42789 7008 5 7008 42775 214 49999 49787
"215" 215 99785 36525 416 0.96926 91775 213 412 7 203 5 203 42788 7008 5 7008 42774 215 49999 49786
"216" 216 99784 18378 418 0.35295 36525 215 416 7 204 5 204 42787 7008 5 7008 42773 216 49999 49785
"217" 217 99783 70354 420 0.53127 18378 216 418 7 205 5 205 42787 7007 5 7007 42773 217 49999 49784
"218" 218 99782 82543 422 0.42686 70354 217 420 7 206 5 206 42787 7006 5 7006 42773 218 49999 49783
"219" 219 99781 14073 424 0.88521 82543 218 422 7 207 5 207 42785 7007 5 7007 42771 219 49999 49782
"220" 220 99780 36439 426 1.1015 23438 214 414 7 208 5 208 42783 7008 5 7008 42769 220 49999 49781
"221" 221 99779 36440 426 0.96482 36439 220 426 8 208 5 208 42784 7007 5 7007 42769 221 49999 49780
"222" 222 99778 10049 428 0.25215 36440 221 426 8 209 5 209 42784 7006 5 7006 42769 222 49999 49779
"223" 223 99777 18104 430 0.93987 10049 222 428 8 210 5 210 42783 7006 5 7006 42768 223 49999 49778
"224" 224 99776 27998 432 1.0719 36439 220 426 8 211 5 211 42782 7006 5 7006 42767 224 49999 49777
"225" 225 99775 5040 434 0.88238 27998 224 432 8 212 5 212 42782 7005 5 7005 42767 225 49999 49776
"226" 226 99774 96061 436 1.0584 27998 224 432 8 213 5 213 42782 7004 5 7004 42767 226 49999 49775
"227" 227 99773 67354 438 0.81064 96061 226 436 8 214 5 214 42781 7004 5 7004 42766 227 49999 49774
"228" 228 99772 51624 440 0.67884 67354 227 438 8 215 5 215 42781 7003 5 7003 42766 228 49999 49773
"229" 229 99771 59210 440 0.80012 51624 228 440 9 215 5 215 42780 7004 5 7004 42764 229 49999 49772
"230" 230 99770 96338 442 1.1373 52328 202 390 9 216 5 216 42780 7003 5 7003 42764 230 49999 49771
"231" 231 99769 60843 444 0.83229 96338 230 442 9 217 5 217 42779 7003 5 7003 42763 231 49999 49770
"232" 232 99768 81266 446 0.55263 60843 231 444 9 218 5 218 42779 7002 5 7002 42763 232 49999 49769
"233" 233 99767 99601 448 1.0971 60843 231 444 9 219 5 219 42779 7001 5 7001 42763 233 49999 49768
"234" 234 99766 18122 450 0.95988 99601 233 448 9 220 5 220 42778 7001 5 7001 42762 234 49999 49767
"235" 235 99765 87832 450 1.139 67354 227 438 10 220 5 220 42779 7000 5 7000 42762 235 49999 49766
"236" 236 99764 70013 452 1.1413 7786 196 380 10 221 5 221 42778 7000 5 7000 42761 236 49999 49765
"237" 237 99763 67779 454 1.1459 67924 125 246 10 222 5 222 42777 7000 5 7000 42760 237 49999 49764
"238" 238 99762 53213 456 0.38251 67779 237 454 10 223 5 223 42777 6999 5 6999 42760 238 49999 49763
"239" 239 99761 6932 458 0.98701 67779 237 454 10 224 5 224 42776 6999 5 6999 42759 239 49999 49762
"240" 240 99760 11238 460 0.1927 6932 239 458 10 225 5 225 42776 6998 5 6998 42759 240 49999 49761
"241" 241 99759 17143 462 0.93125 11238 240 460 10 226 5 226 42776 6997 5 6997 42759 241 49999 49760
